gollygho;Golly! Ghost!;
rthun2;Rolling Thunder 2;
sgunner;Steel Gunner;
sgunner2;Steel Gunner 2;
cosmogng;Cosmo Gang the Video;a
finalap3;Final Lap 3;
luckywld;Lucky and Wild;
suzuka8h;Suzuka 8 Hours;
sws92;Super World Stadium '92;
suzuk8h2;Suzuka 8 Hours 2;
sws93;Super World Stadium '93;
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken;
cgangpzl;Cosmo Gang the Puzzle;
exvania;Exvania;
fghtatck;Fighter and Attacker;a
knckhead;Knuckle Heads;
swcourt;Super World Court;
emeralda;Emeraldia;
numanath;Numan Athletics;
quiztou;Nettou! Gekitou! Quiztou!!;
tinklpit;Tinkle Pit;
xday2;X-Day 2;
nebulray;Nebulas Ray;a
ptblank;Point Blank;
gslgr94u;Great Sluggers '94;
sws95;Super World Stadium '95;
sws96;Super World Stadium '96;
sws97;Super World Stadium '97;
vshoot;J-League Soccer V-Shoot;
outfxies;Outfoxies;
machbrkr;Mach Breakers;
ncv1;Namco Classics Collection Vol.1;a
ncv2;Namco Classics Collection Vol.2;a
winrun91;Winning Run 91;
solvalou;Solvalou;
starblad;Starblade;
aircombj;Air Combat;
cybsled;Cyber Sled;
alpinerd;Alpine Racer;
raveracw;Rave Racer;
ridgeraj;Ridge Racer;
ridger2j;Ridge Racer 2;
acedrvrw;Ace Driver;
victlapw;Ace Driver - Victory Lap;
cybrcomm;Cyber Commando;
airco22b;Air Combat 22;
cybrcycc;Cyber Cycles;
timecrsa;Time Crisis;
propcycl;Prop Cycle;
cosmicg;Cosmic Guerilla;a
cosmica;Cosmic Alien;a
panic;Space Panic;a
zerohour;Zero Hour;a
redclash;Red Clash;a
magspot;Magical Spot;a
magspot2;Magical Spot II;a
devzone;Devil Zone;a
nomnlnd;No Man's Land;a
cheekyms;Cheeky Mouse;a
ladybug;Lady Bug;a
snapjack;Snap Jack;
cavenger;Cosmic Avenger;
dorodon;Dorodon;a
mrdo;Mr. Do!;a
docastle;Mr. Do's Castle;a
dorunrun;Do! Run Run;
dowild;Mr. Do's Wild Ride;
jjack;Jumping Jack;a
kickridr;Kick Rider;
idsoccer;Indoor Soccer;
radarscp;Radar Scope;a
dkong;Donkey Kong;a
dkongjr;Donkey Kong Junior;a
dkong3;Donkey Kong 3;a
mario;Mario Bros.;
spclforc;Special Forces;a
spcfrcii;Special Forces II;a
8ballact;Eight Ball Action;a
shootgal;Shooting Gallery;
drakton;Drakton;a
strtheat;Street Heat - Cardinal Amusements;a
skyskipr;Sky Skipper;
popeye;Popeye;
punchout;Punch-Out!!;
spnchout;Super Punch-Out!!;
armwrest;Arm Wrestling;
btlecity;Vs. Battle City;
starlstr;Vs. Star Luster;
cstlevna;Vs. Castlevania;
cluclu;Vs. Clu Clu Land;
drmario;Vs. Dr. Mario;
duckhunt;Vs. Duck Hunt;
excitebk;Vs. Excitebike;
goonies;Vs. The Goonies;
hogalley;Vs. Hogan's Alley;
iceclimb;Vs. Ice Climber;
ladygolf;Vs. Stroke and Match Golf;
machridr;Vs. Mach Rider;
rbibb;Vs. Atari R.B.I. Baseball;
suprmrio;Vs. Super Mario Bros.;
vsskykid;Vs. Super SkyKid;
tkoboxng;Vs. TKO Boxing;
smgolf;Vs. Stroke and Match Golf;
vspinbal;Vs. Pinball;
vsslalom;Vs. Slalom;
vssoccer;Vs. Soccer;
vsgradus;Vs. Gradius;
platoon;Vs. Platoon;
vstetris;Vs. Tetris;
mightybj;Vs. Mighty Bomb Jack;
jajamaru;Vs. Ninja Jajamaru Kun;
topgun;Vs. Top Gun;
bnglngby;Vs. Raid on Bungeling Bay;
vstennis;Vs. Tennis;
wrecking;Vs. Wrecking Crew;
balonfgt;Vs. Balloon Fight;
vsmahjng;Vs. Mahjang;
vsbball;Vs. BaseBall;
iceclmrj;Vs. Ice Climber Dual;
vsgshoe;Vs. Gumshoe;
supxevs;Vs. Super Xevious;
vsfdf;Vs. Freedom Force;
seawolf;Sea Wolf;
gunfight;Gun Fight;
tornbase;Tornado Baseball;
280zzzap;Datsun 280 Zzzap;
maze;Amazing Maze;
boothill;Boot Hill;
checkmat;Checkmate;
desertgu;Desert Gun;
lagunar;Laguna Racer;a
gmissile;Guided Missile;
m4;M-4;
clowns;Clowns;
einnings;Extra Inning;
shuffle;Shuffleboard;a
dogpatch;Dog Patch;
spcenctr;Space Encounters;
phantom2;Phantom II;
bowler;4 Player Bowling Alley;a
invaders;Space Invaders;a
blueshrk;Blue Shark;
invad2ct;Space Invaders II;a
invadpt2;Space Invaders Part II;a
sstrangr;Space Stranger;a
sstrngr2;Space Stranger 2;a
invrvnge;Invader's Revenge;a
galxwars;Galaxy Wars;a
lrescue;Lunar Rescue;a
rollingc;Rolling Crash - Moon Base;a
sheriff;Sheriff;a
ozmawars;Ozma Wars;a
schaser;Space Chaser;a
lupin3;Lupin III;a
helifire;HeliFire;a
spacefev;Space Fever;a
spclaser;Space Laser;a
polaris;Polaris;a
ballbomb;Balloon Bomber;a
m79amb;M79 Ambush;
yosakdon;Yosaku To Donbee;a
cosmo;Cosmo;a
sspeedr;Super Speed Race;a
sflush;Straight Flush;a
lazercmd;Lazer Command;
bbonk;Bigfoot Bonkers;
deadeye;Dead Eye;
gypsyjug;Gypsy Juggler;
minferno;Inferno;
medlanes;Meadows Lanes;
seawolf2;Sea Wolf II;
spacezap;Space Zap;
ebases;Extra Bases;
wow;Wizard of Wor;
gorf;Gorf;a
robby;Robby Roto;
profpac;Professor PacMan;
solarfox;Solar Fox;a
kick;Kick;a
shollow;Satan's Hollow;a
tron;Tron;a
kroozr;Kozmik Kroozr;
domino;Domino Man;
wacko;Wacko;
twotiger;Two Tigers;
journey;Journey;a
tapper;Tapper;
timber;Timber;
dotron;Discs of Tron;
demoderb;Demolition Derby;
sarge;Sarge;
rampage;Rampage;
powerdrv;Power Drive;
stargrds;Star Guards;
maxrpm;Max RPM;
spyhunt;Spy Hunter;a
turbotag;Turbo Tag;a
crater;Crater Raider;
zwackery;Zwackery;
xenophob;Xenophobe;
spyhunt2;Spy Hunter 2;
blasted;Blasted;
archrivl;Arch Rivals;
trisport;Tri-Sports;a
pigskin;Pigskin 621AD;
sentetst;Sente Diagnostic Cartridge;
cshift;Chicken Shift;
gghost;Goalie Ghost;
hattrick;Hat Trick;
otwalls;Off the Wall;
snakepit;Snake Pit;
snakjack;Snacks'n Jaxson;
stocker;Stocker;
triviag1;Trivial Pursuit;
triviag2;Trivial Pursuit;
triviasp;Trivial Pursuit;
triviayp;Trivial Pursuit;
triviabb;Trivial Pursuit;
gimeabrk;Gimme A Break;
minigolf;Mini Golf;
toggle;Toggle;
nametune;Name That Tune;
nstocker;Night Stocker;
sfootbal;Street Football;
spiker;Spiker;
stompin;Stompin';
rescraid;Rescue Raider;
grudge;Grudge Match;
shrike;Shrike Avenger;
gridlee;Gridlee;
andromed;Andromeda;a
ipminvad;IPM Invader;a
skychut;Sky Chuter;a
spacbeam;Space Beam;a
greenber;Green Beret;a
redalert;Red Alert;a
demoneye;Demoneye-X;a
olibochu;Oli-Boo-Chu;a
mpatrol;Moon Patrol;
troangel;Tropical Angel;
yard;10 Yard Fight;
travrusa;Traverse USA - Zippy Race;a
shtrider;Shot Rider;a
wilytowr;Wily Tower;
kungfum;Kung-Fu Master;
battroad;The Battle-Road;a
ldrun;Lode Runner;
ldrun2;Lode Runner II - The Bungeling Strikes Back;
ldrun3;Lode Runner III - The Golden Labyrinth;
ldrun4;Lode Runner IV - Teikoku Karano Dasshutsu;
lotlot;Lot Lot;
kidniki;Kid Niki - Radical Ninja;
spelunkr;Spelunker;
spelunk2;Spelunker II;
horizon;Horizon;
youjyudn;Youjyuden;a
vigilant;Vigilante;
kikcubic;Meikyu Jima;
rtype;R-Type;
bchopper;Battle Chopper;
nspirit;Ninja Spirit;
imgfight;Image Fight;a
loht;Legend of Hero Tonma;
xmultipl;X Multiply;
dbreed;Dragon Breed;
rtype2;R-Type II;
majtitle;Major Title;
hharry;Hammerin' Harry;
poundfor;Pound for Pound;a
airduel;Air Duel;a
cosmccop;Cosmic Cop;
kengo;Ken-Go;
sichuan2;Sichuan II;
hasamu;Hasamu;
dynablst;Dynablaster;
bbmanw;Bomber Man World;
quizf1;Quiz F-1 1,2finish;
riskchal;Risky Challenge;
shisen2;Shisensho II;
gunforce;Gunforce - Battle Fire Engulfed Terror Island;
bmaster;Blade Master;
lethalth;Lethal Thunder;a
uccops;Undercover Cops;
mysticri;Mystic Riders;
majtitl2;Major Title 2;
hook;Hook;
rtypeleo;R-Type Leo;
inthunt;In The Hunt;
nbbatman;Ninja Baseball Batman;
ssoldier;Superior Soldiers;
gunforc2;Gunforce 2;
firebarr;Fire Barrel;a
dsoccr94;Dream Soccer '94;
wpksoc;World PK Soccer;
reactor;Reactor;
mplanets;Mad Planets;a
qbert;Q*bert;a
insector;Insector;
krull;Krull;a
sqbert;Faster, Harder, More Challenging Q*bert;a
mach3;M.A.C.H. 3;
usvsthem;Us vs. Them;
3stooges;The Three Stooges In Brides Is Brides;
qbertqub;Q*bert's Qubes;a
screwloo;Screw Loose;
curvebal;Curve Ball;a
qix;Qix;a
sdungeon;Space Dungeon;a
elecyoyo;The Electric Yo-Yo;a
kram;Kram;
zookeep;Zoo Keeper;
slither;Slither;a
complexx;Complex X;a
spaceskr;Space Seeker;
spacecr;Space Cruiser;a
junglek;Jungle King;
alpine;Alpine Ski;a
timetunl;Time Tunnel;
wwestern;Wild Western;a
frontlin;Front Line;a
elevator;Elevator Action;
tinstar;The Tin Star;
waterski;Water Ski;a
bioatack;Bio Attack;a
hwrace;High Way Race;a
sfposeid;Sea Fighter Poseidon;
