commsega;Commando;a
bosco;Bosconian;a
galaga;Galaga;a
digdug;Dig Dug;a
xevious;Xevious;a
superpac;Super Pac-Man;a
pacnpal;Pac & Pal;a
phozon;Phozon;a
mappy;Mappy;a
digdug2;Dig Dug II;a
todruaga;Tower of Druaga;a
motos;Motos;a
grobda;Grobda;a
gaplus;Gaplus;a
liblrabl;Libble Rabble;a
toypop;Toypop;a
polepos;Pole Position;a
polepos2;Pole Position II;a
pacland;Pac-Land;a
drgnbstr;Dragon Buster;a
skykid;Sky Kid;a
baraduke;Baraduke;a
metrocrs;Metro-Cross;a
hopmappy;Hopping Mappy;a
skykiddx;Sky Kid Deluxe;a
roishtar;The Return of Ishtar;a
genpeitd;Genpei ToumaDen;a
rthunder;Rolling Thunder;a
wndrmomo;Wonder Momo;a
tceptor;Thunder Ceptor;a
shadowld;Shadow Land;a
dspirit;Dragon Spirit;a
blazer;Blazer;a
quester;Quester;a
pacmania;Pac-Mania;a
galaga88;Galaga '88;a
ws;World Stadium;a
berabohm;Beraboh Man;a
mmaze;Marchen Maze;a
bakutotu;Bakutotsu Kijuutei;a
wldcourt;World Court;a
splatter;Splatter House;a
faceoff;Face Off;a
rompers;Rompers;a
blastoff;Blast Off;a
dangseed;Dangerous Seed;a
pistoldm;Pistol Daimyo no Bouken;a
boxyboy;Boxy Boy;a
puzlclub;Puzzle Club;a
tankfrce;Tank Force;a
finallap;Final Lap;a
assault;Assault;a
metlhawk;Metal Hawk;a
ordyne;Ordyne;a
mirninja;Mirai Ninja;a
phelios;Phelios;a
dirtfoxj;Dirt Fox;a
fourtrax;Four Trax;a
valkyrie;Valkyrie No Densetsu;a
finehour;Finest Hour;a
burnforc;Burning Force;a
marvland;Marvel Land;a
kyukaidk;Kyuukai Douchuuki;a
dsaber;Dragon Saber;a
finalap2;Final Lap 2;a
gollygho;Golly! Ghost!;a
rthun2;Rolling Thunder 2;a
sgunner;Steel Gunner;a
sgunner2;Steel Gunner 2;a
cosmogng;Cosmo Gang the Video;a
finalap3;Final Lap 3;a
luckywld;Lucky and Wild;a
suzuka8h;Suzuka 8 Hours;a
sws92;Super World Stadium '92;a
suzuk8h2;Suzuka 8 Hours 2;a
sws93;Super World Stadium '93;a
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken;a
cgangpzl;Cosmo Gang the Puzzle;a
exvania;Exvania;a
fghtatck;Fighter and Attacker;a
knckhead;Knuckle Heads;a
swcourt;Super World Court;a
emeralda;Emeraldia;a
numanath;Numan Athletics;a
quiztou;Nettou! Gekitou! Quiztou!!;a
tinklpit;Tinkle Pit;a
xday2;X-Day 2;a
nebulray;Nebulas Ray;a
ptblank;Point Blank;a
gslgr94u;Great Sluggers '94;a
sws95;Super World Stadium '95;a
sws96;Super World Stadium '96;a
sws97;Super World Stadium '97;a
vshoot;J-League Soccer V-Shoot;a
outfxies;Outfoxies;a
